,recipient,commitment_amount_usd_constant
0,Australia,804749715.0
1,Austria,216386789.0
2,Belgium,184346233.0
3,Brazil,3747640996.0
4,Canada,3242255492.0
5,Chile,1024751684.0
6,Colombia,2953081854.0
7,Cyprus,379860755.0
8,Denmark,104288895.0
9,Finland,70538468.0
10,France,237532627.0
11,Greece,141418668.0
12,Iceland,18060045.0
13,India,31115166516.0
14,Ireland,88873275.0
15,Italy,1046349525.0
16,Japan,711689681.0
17,Korea,10587603729.0
18,Kuwait,403908.0
19,Liechtenstein,18264370.0
20,New Zealand,225588310.0
21,Norway,238247992.0
22,Poland,75169469.0
23,Portugal,148901470.0
24,Romania,306458855.0
25,Saudi Arabia,946455503.0
26,Spain,561711808.0
27,Sweden,59757155.0
28,Taiwan,1358399498.0
29,Thailand,9217813348.0
30,United Arab Emirates,7187557.0
31,United Kingdom,957343964.0
