Country,donated,received,net_committed
Australia,2446616312,2572618261,-126001949
Austria,784068952,770267419,13801533
Belgium,2144445270,184346233,1960099037
Brazil,1134440,36607258078,-36606123638
Canada,7466338200,4068652966,3397685234
Chile,564349,7334129130,-7333564781
Colombia,190795,25530536307,-25530345512
Cyprus,5599,968154947,-968149348
Czech Republic,8930435,2141913341,-2132982906
Denmark,2952416405,166310586,2786105819
Estonia,278942,251349503,-251070561
Finland,665953415,180695493,485257922
France,15456459635,237540854,15218918781
Germany,47218438821,60164,47218378657
Greece,32667185,519377906,-486710721
Hungary,324552,2925327491,-2925002939
Iceland,172501,18060045,-17887544
India,0,1.34E+11,-1.34E+11
Ireland,295144458,934638729,-639494271
Italy,3835655974,2400826417,1434829557
Japan,1.14E+11,2081102258,1.12E+11
Korea,1299047720,25294323453,-23995275733
Kuwait,1369078319,7771540076,-6402461757
Latvia,0,423495040,-423495040
Liechtenstein,4370700,18393083,-14022383
Lithuania,0,514143270,-514143270
Luxembourg,111554022,555039832,-443485810
Monaco,941387,0,941387
Netherlands,8939647189,0,8939647189
New Zealand,56749885,225588310,-168838425
Norway,4416814418,368001981,4048812437
Poland,403184,24517225188,-24516822004
Portugal,68900866,175242606,-106341740
Qatar,104519053,733783749,-629264696
Romania,0,3329059861,-3329059861
Saudi Arabia,1698410689,4877749103,-3179338414
Slovak Republic,395574,821195623,-820800049
Slovenia,150028,225435200,-225285172
South Africa,0,18655555070,-18655555070
Spain,2014695904,561711808,1452984096
Sweden,6364045876,59757155,6304288721
Switzerland,2844087953,326783,2843761170
Taiwan,83737498,3399554410,-3315816912
Thailand,25461,49041317440,-49041291979
United Arab Emirates,67636986,300206472,-232569486
United Kingdom,23690539376,957343964,22733195412
United States of America,1.16E+11,104524992,1.16E+11
