,Unnamed: 0,aiddata_id,aiddata_2_id,year,donor,recipient,commitment_amount_usd_constant,coalesced_purpose_code,coalesced_purpose_name
2,3,2414635.0,,1983,Saudi Arabia,India,79371799.0,21030,Rail transport
22,23,2428882.0,,1982,Kuwait,India,131175647.0,32120,Industrial development
26,27,2428974.0,,1981,Kuwait,Thailand,65310902.0,23020,Power generation/non-renewable sources
27,28,2429003.0,,1981,Kuwait,India,149282062.0,23020,Power generation/non-renewable sources
92,93,3003168.0,,1989,United States,Chile,54947693.0,32120,Industrial development
96,97,3003189.0,,1997,United States,India,327450763.0,21050,Air transport
98,99,3003207.0,,1982,United States,Colombia,9091619.0,23020,Power generation/non-renewable sources
132,133,3003350.0,,1982,United States,India,16877550.0,32120,Industrial development
133,134,3003351.0,,1985,United States,India,136415.0,32120,Industrial development
135,136,3003353.0,,1986,United States,India,48674791.0,23020,Power generation/non-renewable sources
137,138,3003355.0,,1989,United States,India,5653431.0,21050,Air transport
138,139,3003356.0,,1990,United States,India,29539023.0,32120,Industrial development
141,142,3003359.0,,1991,United States,India,1511753.0,32120,Industrial development
142,143,3003360.0,,1992,United States,India,12144079.0,32120,Industrial development
147,148,3003365.0,,1992,United States,India,888768149.0,21050,Air transport
154,155,3003375.0,,1993,United States,India,87786453.0,21050,Air transport
155,156,3003376.0,,1993,United States,India,3037453.0,32120,Industrial development
168,169,3003423.0,,1981,United States,India,31405792.0,21030,Rail transport
169,170,3003424.0,,1981,United States,India,21162932.0,32120,Industrial development
176,177,3003435.0,,1985,United States,Chile,2761444.0,32120,Industrial development
178,179,3003437.0,,1986,United States,Chile,72045960.0,21050,Air transport
180,181,3003439.0,,1993,United States,Chile,42787512.0,32120,Industrial development
189,190,3003534.0,,1990,United States,Colombia,200543180.0,21050,Air transport
192,193,3003537.0,,1993,United States,Colombia,28354393.0,32120,Industrial development
193,194,3003538.0,,1993,United States,Colombia,356410925.0,32120,Industrial development
194,195,3003539.0,,1993,United States,Colombia,37859622.0,23020,Power generation/non-renewable sources
195,196,3003540.0,,1993,United States,Colombia,74034877.0,23020,Power generation/non-renewable sources
196,197,3003541.0,,1994,United States,Colombia,49664043.0,32120,Industrial development
197,198,3003542.0,,1995,United States,Colombia,25896551.0,23020,Power generation/non-renewable sources
198,199,3003543.0,,1995,United States,Colombia,194786508.0,23020,Power generation/non-renewable sources
199,200,3003544.0,,1995,United States,Colombia,14372915.0,32120,Industrial development
200,201,3003556.0,,1996,United States,Colombia,1664262.0,32120,Industrial development
203,204,3003559.0,,1980,United States,Colombia,5128863.0,32120,Industrial development
204,205,3003560.0,,1981,United States,Colombia,33974646.0,23020,Power generation/non-renewable sources
205,206,3003561.0,,1982,United States,Colombia,24864826.0,32120,Industrial development
207,208,3003563.0,,1982,United States,Colombia,38358069.0,32120,Industrial development
209,210,3003565.0,,1982,United States,Colombia,14218978.0,32120,Industrial development
211,212,3003567.0,,1983,United States,Colombia,4208638.0,32120,Industrial development
216,217,3003572.0,,1985,United States,Colombia,17715659.0,21050,Air transport
218,219,3003574.0,,1988,United States,Colombia,51318594.0,32120,Industrial development
219,220,3003575.0,,1989,United States,Colombia,20761315.0,32120,Industrial development
220,221,3003592.0,,1998,United States,India,141545946.0,21050,Air transport
221,222,3003593.0,,1998,United States,India,107551481.0,23020,Power generation/non-renewable sources
222,223,3003645.0,,2002,United States,Korea,495171290.0,21050,Air transport
223,224,3003646.0,,2001,United States,Korea,818474815.0,21050,Air transport
224,225,3003647.0,,2000,United States,Korea,22984027.0,21050,Air transport
225,226,3003648.0,,2000,United States,Korea,404787650.0,21050,Air transport
227,228,3003651.0,,1999,United States,Korea,25886448.0,32120,Industrial development
228,229,3003652.0,,1999,United States,Korea,4078251.0,32120,Industrial development
229,230,3003653.0,,1999,United States,Korea,2355878.0,23020,Power generation/non-renewable sources
230,231,3003654.0,,1999,United States,Korea,1208448.0,23020,Power generation/non-renewable sources
246,247,3003725.0,,1999,United States,Saudi Arabia,186738309.0,21050,Air transport
247,248,3003726.0,,1999,United States,Saudi Arabia,1178650310.0,21050,Air transport
248,249,3003728.0,,2001,United States,South Africa,322026811.0,21050,Air transport
249,250,3003729.0,,1999,United States,South Africa,120917030.0,21050,Air transport
250,251,3003730.0,,1999,United States,South Africa,120917030.0,21050,Air transport
256,257,3003760.0,,2001,United States,Thailand,260365478.0,21050,Air transport
257,258,3003761.0,,2000,United States,Thailand,642181555.0,21050,Air transport
260,261,3003838.0,,1980,United States,Brazil,1840665.0,32120,Industrial development
261,262,3003839.0,,1980,United States,Brazil,4467591.0,32120,Industrial development
262,263,3003840.0,,1980,United States,Brazil,44838052.0,21050,Air transport
264,265,3003842.0,,1980,United States,Brazil,21776984.0,21030,Rail transport
