donor,recipient,commitment_amount_usd_constant
Australia,Brazil,28997.0
Australia,Colombia,129719.0
Australia,India,221707678.0
Australia,Thailand,711394596.0
Austria,Brazil,2558835.0
Austria,Chile,726317.0
Austria,Colombia,1023372.0
Austria,India,71531063.0
Austria,Korea,93515337.0
Austria,Kuwait,110061.0
Austria,Saudi Arabia,459232.0
Austria,Thailand,25937892.0
Belgium,Brazil,95301312.0
Belgium,India,71012422.0
Belgium,Poland,797173879.0
Belgium,Thailand,4191839.0
Canada,Brazil,100076128.0
Canada,Chile,44501329.0
Canada,Colombia,149884090.0
Canada,India,1600212717.0
Canada,Korea,3287822.0
Canada,Kuwait,1568.0
Canada,Poland,51269036.0
Canada,South Africa,916613.0
Canada,Thailand,554467319.0
Denmark,Brazil,23587.0
Denmark,Chile,29486567.0
Denmark,India,1003956985.0
Denmark,Thailand,96614125.0
Finland,Brazil,471154.0
Finland,Chile,3554668.0
Finland,Colombia,844651.0
Finland,India,33969273.0
Finland,Thailand,92921921.0
France,Brazil,197042744.0
France,Chile,120071498.0
France,Colombia,225871991.0
France,India,1702040685.0
France,Korea,27965046.0
France,Poland,336541136.0
France,Thailand,482241772.0
Germany,Brazil,803057936.0
Germany,Chile,115025491.0
Germany,Colombia,272909671.0
Germany,India,4759780800.0
Germany,Korea,40065081.0
Germany,Poland,13935160310.0
Germany,Saudi Arabia,1598524.0
Germany,Thailand,629745504.0
Italy,Brazil,226262026.0
Italy,Chile,141764082.0
Italy,Colombia,238417626.0
Italy,India,856235327.0
Italy,Poland,42862217.0
Italy,South Africa,12837888.0
Italy,Thailand,21609388.0
Japan,Brazil,1514603177.0
Japan,Chile,373845013.0
Japan,Colombia,330603522.0
Japan,India,9555176021.0
Japan,Korea,3627259526.0
Japan,Kuwait,3881762.0
Japan,Poland,104257419.0
Japan,Saudi Arabia,239221170.0
Japan,Thailand,9694078965.0
Kuwait,India,230146772.0
Netherlands,Brazil,20331092.0
Netherlands,Chile,98112277.0
Netherlands,Colombia,90288479.0
Netherlands,India,2915232971.0
Netherlands,Korea,325248.0
Netherlands,Thailand,77841526.0
Norway,Brazil,5290155.0
Norway,Chile,18361213.0
Norway,Colombia,991055.0
Norway,India,600517876.0
Norway,South Africa,42628330.0
Norway,Thailand,41238595.0
Saudi Arabia,India,316150461.0
Saudi Arabia,Korea,134511154.0
Spain,Chile,106902577.0
Spain,Colombia,23991968.0
Spain,India,100535177.0
Spain,Poland,74585416.0
Sweden,Brazil,4141289.0
Sweden,Chile,151477054.0
Sweden,Colombia,3172049.0
Sweden,India,1694369312.0
Sweden,Poland,20315899.0
Sweden,South Africa,806768896.0
Sweden,Thailand,28365226.0
Switzerland,Brazil,14990171.0
Switzerland,Chile,43681122.0
Switzerland,Colombia,43402901.0
Switzerland,India,781473832.0
Switzerland,Korea,70988.0
Switzerland,South Africa,4437956.0
Switzerland,Thailand,59121149.0
United Kingdom,Brazil,72892653.0
United Kingdom,Chile,8200905.0
United Kingdom,Colombia,49215825.0
United Kingdom,India,4230519115.0
United Kingdom,Korea,110727.0
United Kingdom,Poland,61681225.0
United Kingdom,South Africa,165963248.0
United Kingdom,Thailand,76442613.0
United States,Brazil,3684701305.0
United States,Chile,1897811912.0
United States,Colombia,2703188067.0
United States,India,4828499416.0
United States,Korea,953265382.0
United States,Kuwait,7444036351.0
United States,Poland,1122700296.0
United States,Saudi Arabia,377083745.0
United States,South Africa,505709248.0
United States,Thailand,2593900875.0
